evidence_id,method_id,material_id,material_group,entry_id,protocol_number,protocol_source,doi,source_pdf,json_file,target_material,formula,elements,morphology,morphology_reported,route,route_reported,phase_or_structure,full_synthesis_procedure,notes,precursors,additives,solvent,temperature_C,time_h,time_min,pH,pressure_or_vessel,atmosphere,mixing_or_addition_sequence,washing,drying_temperature_C,calcination_temperature_C,post_treatment,support_or_substrate,particle_size_nm,diameter_nm,length_nm,width_nm,thickness_nm,yield,confidence
evidence_f206fe42bc6045,method_9a449102b1925e,mat_23babe8d5a91b7,Ag,25838,2,example_protocol,10.1007/s00339-013-7788-y,25838.pdf,25838.json,BSA-stabilized silver nanoparticles,Ag,Ag,nanoparticle,"Larger, more anisotropic nanoparticles",chemical reduction,One-step aqueous chemical reduction,BSA-capped crystalline Ag nanoparticles,"A 30 mL aqueous solution of AgNO3 (0.03 M) was combined with BSA and stirred for 1 h. A reducing agent—24 mL of 0.4 M NaBH4, hydrazine, or DMF—was then added slowly. The mixture was stirred for about 12 h to complete formation of BSA-capped Ag nanoparticles.",BSA quantity and exact hydrazine/DMF quantities were not reported in the accessible text.,"[{""name"": ""Silver nitrate"", ""formula"": ""AgNO3"", ""amount"": ""30 mL of 0.03 M aqueous solution""}, {""name"": ""Bovine serum albumin"", ""formula"": ""BSA"", ""amount"": ""Not reported""}, {""name"": ""Sodium borohydride"", ""formula"": ""NaBH4"", ""amount"": ""24 mL of 0.4 M solution, for one route""}, {""name"": ""Hydrazine hydrate"", ""formula"": ""N2H4·H2O"", ""amount"": ""Alternative reducing agent; amount not reported""}, {""name"": ""N,N-Dimethylformamide"", ""formula"": ""DMF"", ""amount"": ""Alternative reducing agent; amount not reported""}]","[""BSA stabilizer"", ""Reducing agent selected from NaBH4, hydrazine, or DMF""]",Water,Room temperature,1 h premixing plus ~12 h after reducing-agent addition,,,Open aqueous reaction vessel,Ambient,Combine aqueous AgNO3 with BSA and stir for 1 h. Slowly add the selected reducing agent and continue stirring for approximately 12 h.,,,,Used as water-soluble BSA-capped Ag colloid.,,Reducing-agent dependent; exact values not exposed in accessible text,,,,,,"{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""medium"", ""particle_size"": ""low""}"
evidence_fdcd888947d0af,method_fa81b2699a4bd2,mat_23babe8d5a91b7,Ag,25838,3,example_protocol,10.1007/s00339-013-7788-y,25838.pdf,25838.json,BSA-stabilized silver nanoparticles,Ag,Ag,nanoparticle,"Larger, more anisotropic nanoparticles",chemical reduction,One-step aqueous chemical reduction,BSA-capped crystalline Ag nanoparticles,"A 30 mL aqueous solution of AgNO3 (0.03 M) was combined with BSA and stirred for 1 h. A reducing agent—24 mL of 0.4 M NaBH4, hydrazine, or DMF—was then added slowly. The mixture was stirred for about 12 h to complete formation of BSA-capped Ag nanoparticles.",BSA quantity and exact hydrazine/DMF quantities were not reported in the accessible text.,"[{""name"": ""Silver nitrate"", ""formula"": ""AgNO3"", ""amount"": ""30 mL of 0.03 M aqueous solution""}, {""name"": ""Bovine serum albumin"", ""formula"": ""BSA"", ""amount"": ""Not reported""}, {""name"": ""Sodium borohydride"", ""formula"": ""NaBH4"", ""amount"": ""24 mL of 0.4 M solution, for one route""}, {""name"": ""Hydrazine hydrate"", ""formula"": ""N2H4·H2O"", ""amount"": ""Alternative reducing agent; amount not reported""}, {""name"": ""N,N-Dimethylformamide"", ""formula"": ""DMF"", ""amount"": ""Alternative reducing agent; amount not reported""}]","[""BSA stabilizer"", ""Reducing agent selected from NaBH4, hydrazine, or DMF""]",Water,Room temperature,1 h premixing plus ~12 h after reducing-agent addition,,,Open aqueous reaction vessel,Ambient,Combine aqueous AgNO3 with BSA and stir for 1 h. Slowly add the selected reducing agent and continue stirring for approximately 12 h.,,,,Used as water-soluble BSA-capped Ag colloid.,,Reducing-agent dependent; exact values not exposed in accessible text,,,,,,"{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""medium"", ""particle_size"": ""low""}"
evidence_c76513ab961203,method_7510f42410f51f,mat_5b796c398cd61b,Ag,31679,1,main_protocol,10.1016/j.polymer.2015.10.053,31679.pdf,31679.json,Thiol-functionalized PCL-stabilized silver nanoparticles,Ag,Ag,nanoparticle,Nanoparticles,two-phase reduction,Two-phase phase-transfer reduction,Polymer-protected Ag nanoparticles,"One millilitre of 0.10 M tetra-n-octylammonium bromide in toluene was mixed with 1 mL of 0.05 M aqueous AgNO3 under rapid stirring. BPCLSH2 (0.042 g in 1 mL toluene) was added, followed by slow addition of 2.0 mL freshly prepared 0.25 M aqueous NaBH4. The reaction was stirred in the dark for 12 h. The organic phase was separated, concentrated by evaporation at room temperature, and dissolved in 20 mL chloroform.",The paper also reports analogous linear-PCL-stabilized Ag nanoparticles.,"[{""name"": ""Silver nitrate"", ""formula"": ""AgNO3"", ""amount"": ""1 mL of 0.05 M aqueous solution""}, {""name"": ""Tetra-n-octylammonium bromide"", ""formula"": ""(n-C8H17)4NBr"", ""amount"": ""1 mL of 0.10 M solution in toluene""}, {""name"": ""Thiol-functionalized branched PCL"", ""formula"": ""BPCLSH2"", ""amount"": ""0.042 g in 1 mL toluene""}, {""name"": ""Sodium borohydride"", ""formula"": ""NaBH4"", ""amount"": ""2.0 mL of freshly prepared 0.25 M aqueous solution""}]","[""Phase-transfer agent (tetra-n-octylammonium bromide)"", ""BPCLSH2 stabilizer"", ""NaBH4 reducing agent""]",Water/toluene biphasic system; final dispersion in chloroform,Room temperature,12,,,Biphasic reaction vessel protected from light,,"Mix the toluene phase-transfer-agent solution with aqueous AgNO3 under rapid stirring, add BPCLSH2 in toluene, then slowly add freshly prepared aqueous NaBH4.",,,,"Separate the organic phase, concentrate by room-temperature evaporation, and dissolve in 20 mL chloroform.",,Approximately 2–3,2–3,,,,,"{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""high"", ""particle_size"": ""high""}"
evidence_1580615bde7424,method_9a1291e3a0d06a,mat_9e87aa43d6311e,Ag,34194,1,example_protocol,10.1016/j.materresbull.2016.12.030,34194.pdf,34194.json,Size-controlled silver nanoparticles for metal-enhanced upconversion luminescence,Ag,Ag,nanosphere,Nanospheres,polyol,Citrate reduction for 20 nm particles; polyol reduction for 100 nm particles,Crystalline Ag nanoparticles,"For ~20 nm Ag nanoparticles, 45 mg AgNO3 was dissolved in 200 mL water. A solution of 57 mg trisodium citrate dihydrate in 5 mL water was added under stirring, and the mixture was boiled for 15 min with vigorous stirring. After natural cooling, particles were centrifuged and washed with water several times. For ~100 nm particles, 1.25 g PVP was dissolved in 100 mL ethylene glycol, 0.25 g AgNO3 was added under stirring, and the mixture was heated at 130 °C for 15 min in an oil bath. After cooling, particles were centrifuged and washed with water.",Both size-controlled routes are explicitly reported.,"[{""name"": ""Silver nitrate"", ""formula"": ""AgNO3"", ""amount"": ""45 mg in 200 mL water for 20 nm route; 0.25 g for 100 nm route""}, {""name"": ""Trisodium citrate dihydrate"", ""formula"": ""Na3C6H5O7·2H2O"", ""amount"": ""57 mg in 5 mL water for 20 nm route""}, {""name"": ""Poly(vinylpyrrolidone)"", ""formula"": ""PVP"", ""amount"": ""1.25 g in 100 mL ethylene glycol for 100 nm route""}, {""name"": ""Ethylene glycol"", ""formula"": ""C2H6O2"", ""amount"": ""100 mL for 100 nm route""}]","[""Trisodium citrate for 20 nm route"", ""PVP for 100 nm route""]",Water for 20 nm particles; ethylene glycol for 100 nm particles,Boiling for 20 nm route; 130 °C for 100 nm route,,15,,Open stirred vessel/oil bath,Ambient,"For 20 nm particles, add citrate solution to aqueous AgNO3 and boil under vigorous stirring. For 100 nm particles, dissolve PVP in ethylene glycol, add AgNO3 under stirring, and heat in an oil bath.",Centrifuge and wash several times with deionized water.,,,Cool naturally to room temperature before isolation.,NaYF4:Yb/Er nanoplates in subsequent assembly experiments,20 or 100,20 or 100,,,,,"{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""high"", ""particle_size"": ""high""}"
evidence_4df52fbf923270,method_c72d7080cabfa0,mat_9e87aa43d6311e,Ag,34194,2,example_protocol,10.1016/j.materresbull.2016.12.030,34194.pdf,34194.json,Size-controlled silver nanoparticles for metal-enhanced upconversion luminescence,Ag,Ag,nanosphere,Nanospheres,polyol,Citrate reduction for 20 nm particles; polyol reduction for 100 nm particles,Crystalline Ag nanoparticles,"For ~20 nm Ag nanoparticles, 45 mg AgNO3 was dissolved in 200 mL water. A solution of 57 mg trisodium citrate dihydrate in 5 mL water was added under stirring, and the mixture was boiled for 15 min with vigorous stirring. After natural cooling, particles were centrifuged and washed with water several times. For ~100 nm particles, 1.25 g PVP was dissolved in 100 mL ethylene glycol, 0.25 g AgNO3 was added under stirring, and the mixture was heated at 130 °C for 15 min in an oil bath. After cooling, particles were centrifuged and washed with water.",Both size-controlled routes are explicitly reported.,"[{""name"": ""Silver nitrate"", ""formula"": ""AgNO3"", ""amount"": ""45 mg in 200 mL water for 20 nm route; 0.25 g for 100 nm route""}, {""name"": ""Trisodium citrate dihydrate"", ""formula"": ""Na3C6H5O7·2H2O"", ""amount"": ""57 mg in 5 mL water for 20 nm route""}, {""name"": ""Poly(vinylpyrrolidone)"", ""formula"": ""PVP"", ""amount"": ""1.25 g in 100 mL ethylene glycol for 100 nm route""}, {""name"": ""Ethylene glycol"", ""formula"": ""C2H6O2"", ""amount"": ""100 mL for 100 nm route""}]","[""Trisodium citrate for 20 nm route"", ""PVP for 100 nm route""]",Water for 20 nm particles; ethylene glycol for 100 nm particles,130,,15,,Open stirred vessel/oil bath,Ambient,"For 20 nm particles, add citrate solution to aqueous AgNO3 and boil under vigorous stirring. For 100 nm particles, dissolve PVP in ethylene glycol, add AgNO3 under stirring, and heat in an oil bath.",Centrifuge and wash several times with deionized water.,,,Cool naturally to room temperature before isolation.,NaYF4:Yb/Er nanoplates in subsequent assembly experiments,20 or 100,20 or 100,,,,,"{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""high"", ""particle_size"": ""high""}"
evidence_2385e49adbb365,method_1ee2c95cb3d354,mat_aa0929caaf7f17,Ag,35213,1,main_protocol,10.1021/cg060593a,35213.pdf,35213.json,Single-crystal silver nanoplatelets,Ag,Ag,nanoplate,Nanoplatelets,solvothermal,Solvothermal reduction in DMF,Single-crystal face-centered-cubic Ag nanoplatelets exposing {111} basal facets,A 20 mL DMF solution of 50 mM AgNO3 was added dropwise into 20 mL of 50 mM PVP in DMF. The mixture was transferred to a 50 mL autoclave and heated at 140 °C under autogenous pressure for 8 h. The product was isolated by centrifugation and washed with acetone and water.,The paper reports single-crystal Ag nanoplatelets with {111} basal facets.,"[{""name"": ""Silver nitrate"", ""formula"": ""AgNO3"", ""amount"": ""20 mL of 50 mM solution in DMF""}, {""name"": ""Poly(vinylpyrrolidone)"", ""formula"": ""PVP"", ""amount"": ""20 mL of 50 mM solution in DMF""}]","[""PVP""]","N,N-Dimethylformamide (DMF), serving as solvent and reducing agent",140,8,,,50 mL autoclave under autogenous pressure,,"Add the AgNO3/DMF solution dropwise into the PVP/DMF solution, then transfer to the autoclave.",Centrifuge and wash with acetone and water.,,,,,,,,,,,"{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""high"", ""particle_size"": ""medium""}"
evidence_e1ce59d1f559b2,method_12093572f85152,mat_d0427708949621,Ag,3723,1,example_protocol,10.1016/j.cplett.2013.03.037,3723.pdf,3723.json,Large silver nanoplates,Ag,Ag,nanoplate,Triangular and hexagonal nanoplates,chemical reduction,Aqueous heat-up synthesis,Thin triangular or hexagonal Ag nanoplates,"AgNO3 (96 mg) and PVP (1.88 g, MW 29,000) were dissolved in 11 mL deionized water in a 20 mL vial at room temperature. After capping, the mixture was heated to 95 °C at 0.42 °C min−1 under magnetic stirring, held at 95 °C for 12 h, and cooled to room temperature.",The heat-up method produces larger plates than the hot-injection comparison.,"[{""name"": ""Silver nitrate"", ""formula"": ""AgNO3"", ""amount"": ""96 mg""}, {""name"": ""Poly(vinylpyrrolidone)"", ""formula"": ""PVP"", ""amount"": ""1.88 g"", ""molecular_weight"": ""29,000""}]","[""PVP, serving as reducing and stabilizing agent""]",11 mL deionized water,95,12,,,Capped 20 mL vial,,"Dissolve AgNO3 and PVP together in 11 mL deionized water at room temperature, cap the vial, and slowly heat to 95 °C at 0.42 °C min−1 under magnetic stirring.",,,,"Maintain at 95 °C for 12 h under magnetic stirring, then cool to room temperature.",,Average lateral size ~1100,,,,~25,,"{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""high"", ""particle_size"": ""high""}"
evidence_7c643a7c51db43,method_1460100e460893,mat_ea7acd788810b8,Ag,5003,1,example_protocol,10.1016/j.matlet.2013.04.086,5003.pdf,5003.json,Shape-controlled silver nanoparticles,Ag,Ag,nanotriangle,"Nanospheres, nanotriangles, nanorods, and nanocubes",chemical reduction,One-pot aqueous chemical reduction,Single-crystalline face-centered cubic silver,"AgNO3 (3.214 mg) was dissolved in 172 mL deionized water and divided among four beakers (43 mL each). PVA solution (6.4 mL, 2 wt%), sodium citrate (6.4 mL, 30 mM), and H2O2 (0.2 mL, 30%) were added to each portion. After 10 min stirring at ambient temperature, 1.8, 2.5, 3.5, or 4.5 mL of 0.1 mM NaBH4 was added to the separate beakers and stirring continued until characteristic colors appeared. Products were centrifuged at 6000 rpm for 2 min, filtered, washed with deionized water, and vacuum-dried at 60 °C for 2 h.",The mapping of NaBH4 volume to morphology is reconstructed from the reported order of solution colors and the paper's color-to-shape assignment.,"[{""name"": ""Silver nitrate"", ""formula"": ""AgNO3"", ""amount"": ""3.214 mg dissolved in 172 mL water; 43 mL used per batch""}, {""name"": ""Poly(vinyl alcohol)"", ""formula"": ""PVA"", ""amount"": ""6.4 mL of 2 wt% solution per batch""}, {""name"": ""Sodium citrate"", ""formula"": ""Na3C6H5O7"", ""amount"": ""6.4 mL of 30 mM solution per batch""}, {""name"": ""Hydrogen peroxide"", ""formula"": ""H2O2"", ""amount"": ""0.2 mL of 30% solution per batch""}, {""name"": ""Sodium borohydride"", ""formula"": ""NaBH4"", ""amount"": ""1.8, 2.5, 3.5, or 4.5 mL of 0.1 mM solution""}]","[""PVA (stabilizer/capping agent)"", ""Sodium citrate"", ""H2O2"", ""NaBH4 (reducing agent)""]",Deionized water,Ambient during reaction; vacuum drying at 60 °C,,,,Open glass beakers at ambient pressure,Ambient,"Prepare AgNO3 stock, divide into four 43 mL portions, add PVA, sodium citrate, and H2O2, stir for 10 min, then add the designated NaBH4 volume and continue stirring until the color changes.","Centrifuge at 6000 rpm for 2 min, filter, and wash with deionized water.",60,,Vacuum dry at 60 °C for 2 h.,,Shape-dependent: spheres 10.6 ± 1.3; triangles edge 5.3 ± 0.4; rods length 11 ± 2.1 and thickness 4.8 ± 0.2; cubes edge 8.6 ± 0.4,Nanospheres: 10.6 ± 1.3,Nanorods: 11 ± 2.1,,Nanorods: 4.8 ± 0.2,,"{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""high"", ""particle_size"": ""high""}"
evidence_0872873f2a6501,method_cda4c546709381,mat_ea7acd788810b8,Ag,5003,2,example_protocol,10.1016/j.matlet.2013.04.086,5003.pdf,5003.json,Shape-controlled silver nanoparticles,Ag,Ag,nanotriangle,"Nanospheres, nanotriangles, nanorods, and nanocubes",chemical reduction,One-pot aqueous chemical reduction,Single-crystalline face-centered cubic silver,"AgNO3 (3.214 mg) was dissolved in 172 mL deionized water and divided among four beakers (43 mL each). PVA solution (6.4 mL, 2 wt%), sodium citrate (6.4 mL, 30 mM), and H2O2 (0.2 mL, 30%) were added to each portion. After 10 min stirring at ambient temperature, 1.8, 2.5, 3.5, or 4.5 mL of 0.1 mM NaBH4 was added to the separate beakers and stirring continued until characteristic colors appeared. Products were centrifuged at 6000 rpm for 2 min, filtered, washed with deionized water, and vacuum-dried at 60 °C for 2 h.",The mapping of NaBH4 volume to morphology is reconstructed from the reported order of solution colors and the paper's color-to-shape assignment.,"[{""name"": ""Silver nitrate"", ""formula"": ""AgNO3"", ""amount"": ""3.214 mg dissolved in 172 mL water; 43 mL used per batch""}, {""name"": ""Poly(vinyl alcohol)"", ""formula"": ""PVA"", ""amount"": ""6.4 mL of 2 wt% solution per batch""}, {""name"": ""Sodium citrate"", ""formula"": ""Na3C6H5O7"", ""amount"": ""6.4 mL of 30 mM solution per batch""}, {""name"": ""Hydrogen peroxide"", ""formula"": ""H2O2"", ""amount"": ""0.2 mL of 30% solution per batch""}, {""name"": ""Sodium borohydride"", ""formula"": ""NaBH4"", ""amount"": ""1.8, 2.5, 3.5, or 4.5 mL of 0.1 mM solution""}]","[""PVA (stabilizer/capping agent)"", ""Sodium citrate"", ""H2O2"", ""NaBH4 (reducing agent)""]",Deionized water,Ambient during reaction; vacuum drying at 60 °C,,,,Open glass beakers at ambient pressure,Ambient,"Prepare AgNO3 stock, divide into four 43 mL portions, add PVA, sodium citrate, and H2O2, stir for 10 min, then add the designated NaBH4 volume and continue stirring until the color changes.","Centrifuge at 6000 rpm for 2 min, filter, and wash with deionized water.",60,,Vacuum dry at 60 °C for 2 h.,,Shape-dependent: spheres 10.6 ± 1.3; triangles edge 5.3 ± 0.4; rods length 11 ± 2.1 and thickness 4.8 ± 0.2; cubes edge 8.6 ± 0.4,Nanospheres: 10.6 ± 1.3,Nanorods: 11 ± 2.1,,Nanorods: 4.8 ± 0.2,,"{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""high"", ""particle_size"": ""high""}"
evidence_4244cada451285,method_913218b9ee6219,mat_ea7acd788810b8,Ag,5003,3,example_protocol,10.1016/j.matlet.2013.04.086,5003.pdf,5003.json,Shape-controlled silver nanoparticles,Ag,Ag,nanotriangle,"Nanospheres, nanotriangles, nanorods, and nanocubes",chemical reduction,One-pot aqueous chemical reduction,Single-crystalline face-centered cubic silver,"AgNO3 (3.214 mg) was dissolved in 172 mL deionized water and divided among four beakers (43 mL each). PVA solution (6.4 mL, 2 wt%), sodium citrate (6.4 mL, 30 mM), and H2O2 (0.2 mL, 30%) were added to each portion. After 10 min stirring at ambient temperature, 1.8, 2.5, 3.5, or 4.5 mL of 0.1 mM NaBH4 was added to the separate beakers and stirring continued until characteristic colors appeared. Products were centrifuged at 6000 rpm for 2 min, filtered, washed with deionized water, and vacuum-dried at 60 °C for 2 h.",The mapping of NaBH4 volume to morphology is reconstructed from the reported order of solution colors and the paper's color-to-shape assignment.,"[{""name"": ""Silver nitrate"", ""formula"": ""AgNO3"", ""amount"": ""3.214 mg dissolved in 172 mL water; 43 mL used per batch""}, {""name"": ""Poly(vinyl alcohol)"", ""formula"": ""PVA"", ""amount"": ""6.4 mL of 2 wt% solution per batch""}, {""name"": ""Sodium citrate"", ""formula"": ""Na3C6H5O7"", ""amount"": ""6.4 mL of 30 mM solution per batch""}, {""name"": ""Hydrogen peroxide"", ""formula"": ""H2O2"", ""amount"": ""0.2 mL of 30% solution per batch""}, {""name"": ""Sodium borohydride"", ""formula"": ""NaBH4"", ""amount"": ""1.8, 2.5, 3.5, or 4.5 mL of 0.1 mM solution""}]","[""PVA (stabilizer/capping agent)"", ""Sodium citrate"", ""H2O2"", ""NaBH4 (reducing agent)""]",Deionized water,Ambient during reaction; vacuum drying at 60 °C,,,,Open glass beakers at ambient pressure,Ambient,"Prepare AgNO3 stock, divide into four 43 mL portions, add PVA, sodium citrate, and H2O2, stir for 10 min, then add the designated NaBH4 volume and continue stirring until the color changes.","Centrifuge at 6000 rpm for 2 min, filter, and wash with deionized water.",60,,Vacuum dry at 60 °C for 2 h.,,Shape-dependent: spheres 10.6 ± 1.3; triangles edge 5.3 ± 0.4; rods length 11 ± 2.1 and thickness 4.8 ± 0.2; cubes edge 8.6 ± 0.4,Nanospheres: 10.6 ± 1.3,Nanorods: 11 ± 2.1,,Nanorods: 4.8 ± 0.2,,"{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""high"", ""particle_size"": ""high""}"
evidence_0fb0e3e052e75a,method_d8827b0a4c5af9,mat_ea7acd788810b8,Ag,5003,4,example_protocol,10.1016/j.matlet.2013.04.086,5003.pdf,5003.json,Shape-controlled silver nanoparticles,Ag,Ag,nanotriangle,"Nanospheres, nanotriangles, nanorods, and nanocubes",chemical reduction,One-pot aqueous chemical reduction,Single-crystalline face-centered cubic silver,"AgNO3 (3.214 mg) was dissolved in 172 mL deionized water and divided among four beakers (43 mL each). PVA solution (6.4 mL, 2 wt%), sodium citrate (6.4 mL, 30 mM), and H2O2 (0.2 mL, 30%) were added to each portion. After 10 min stirring at ambient temperature, 1.8, 2.5, 3.5, or 4.5 mL of 0.1 mM NaBH4 was added to the separate beakers and stirring continued until characteristic colors appeared. Products were centrifuged at 6000 rpm for 2 min, filtered, washed with deionized water, and vacuum-dried at 60 °C for 2 h.",The mapping of NaBH4 volume to morphology is reconstructed from the reported order of solution colors and the paper's color-to-shape assignment.,"[{""name"": ""Silver nitrate"", ""formula"": ""AgNO3"", ""amount"": ""3.214 mg dissolved in 172 mL water; 43 mL used per batch""}, {""name"": ""Poly(vinyl alcohol)"", ""formula"": ""PVA"", ""amount"": ""6.4 mL of 2 wt% solution per batch""}, {""name"": ""Sodium citrate"", ""formula"": ""Na3C6H5O7"", ""amount"": ""6.4 mL of 30 mM solution per batch""}, {""name"": ""Hydrogen peroxide"", ""formula"": ""H2O2"", ""amount"": ""0.2 mL of 30% solution per batch""}, {""name"": ""Sodium borohydride"", ""formula"": ""NaBH4"", ""amount"": ""1.8, 2.5, 3.5, or 4.5 mL of 0.1 mM solution""}]","[""PVA (stabilizer/capping agent)"", ""Sodium citrate"", ""H2O2"", ""NaBH4 (reducing agent)""]",Deionized water,Ambient during reaction; vacuum drying at 60 °C,,,,Open glass beakers at ambient pressure,Ambient,"Prepare AgNO3 stock, divide into four 43 mL portions, add PVA, sodium citrate, and H2O2, stir for 10 min, then add the designated NaBH4 volume and continue stirring until the color changes.","Centrifuge at 6000 rpm for 2 min, filter, and wash with deionized water.",60,,Vacuum dry at 60 °C for 2 h.,,Shape-dependent: spheres 10.6 ± 1.3; triangles edge 5.3 ± 0.4; rods length 11 ± 2.1 and thickness 4.8 ± 0.2; cubes edge 8.6 ± 0.4,Nanospheres: 10.6 ± 1.3,Nanorods: 11 ± 2.1,,Nanorods: 4.8 ± 0.2,,"{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""high"", ""particle_size"": ""high""}"
evidence_2687e3ee0fe268,method_e1b105215ed7f7,mat_d9d64700d09288,Ag,5302,1,main_protocol,10.1063/1.4879552,5302.pdf,5302.json,Silver nanoplates grown directly on a tapered optical-fiber tip,Ag,Ag,nanoplate,Nanoplates,hydrothermal,One-pot hydrothermal growth on substrate,Silver nanoplates supported on tapered multimode silica fiber,"AgNO3 (0.4 g) was dissolved in 10 mL water. NaHCO3 solution (10 mL, 0.12 M) was added dropwise under stirring. After 2 min, PVP (2.5 g) was added and the mixture was stirred for 10 min. The mixture was transferred to a 50 mL Teflon-lined autoclave and the cleaned tapered fiber was immersed in it. The sealed autoclave was maintained at 170 °C for 5 h and cooled naturally. The fiber probe was removed, rinsed with deionized water, and vacuum-dried.",This is a substrate-bound synthesis rather than a free-powder synthesis.,"[{""name"": ""Silver nitrate"", ""formula"": ""AgNO3"", ""amount"": ""0.4 g in 10 mL water""}, {""name"": ""Sodium bicarbonate"", ""formula"": ""NaHCO3"", ""amount"": ""10 mL of 0.12 M solution""}, {""name"": ""Poly(vinylpyrrolidone)"", ""formula"": ""PVP"", ""amount"": ""2.5 g""}]","[""PVP"", ""NaHCO3""]",Water,170,5,,,50 mL stainless-steel Teflon-lined autoclave,,"Dissolve AgNO3 in water; add NaHCO3 solution dropwise under stirring. After 2 min, add PVP and continue stirring for 10 min. Transfer mixture to autoclave and immerse the cleaned tapered fiber.",Remove the fiber probe and rinse with deionized water.,,,Cool naturally to room temperature; vacuum-dry the rinsed fiber probe.,Tapered multimode silica optical fiber tip,Average lateral length ~300,,~300,,~40,,"{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""high"", ""particle_size"": ""high""}"
evidence_af37da9f72c52a,method_68676b8a093d5c,mat_7d5353face1cbf,Ag,5486,1,main_protocol,10.1007/s10854-012-0941-0,5486.pdf,5486.json,Highly dispersed spherical silver nanoparticles,Ag,Ag,nanosphere,Spherical nanoparticles,solvothermal,Solvothermal synthesis,Face-centered cubic silver nanoparticles,"AgNO3 (0.085 g) was dissolved in 10 mL ethylene glycol. PVP (0.1 g) was dissolved in 10 mL ethylene glycol at 60 °C under vigorous stirring. The PVP solution was added dropwise to the AgNO3 solution under stirring. The mixture was transferred to a 50 mL autoclave and held in a constant-temperature oven for 6 h. The oven was cooled naturally, the spherical Ag nanoparticles were centrifuged at 10,000 rpm, and the precipitate was redispersed in ethanol.",The paper does not explicitly report the autoclave temperature in the accessible experimental text; it should remain null rather than be inferred.,"[{""name"": ""Silver nitrate"", ""formula"": ""AgNO3"", ""amount"": ""0.085 g in 10 mL ethylene glycol""}, {""name"": ""Poly(vinylpyrrolidone)"", ""formula"": ""PVP"", ""amount"": ""0.1 g in 10 mL ethylene glycol"", ""molecular_weight"": ""40,000""}]","[""PVP (stabilizer/capping agent)""]",Ethylene glycol; product redispersed in ethanol,,6,,,50 mL autoclave under solvothermal pressure,,"Dissolve AgNO3 in 10 mL ethylene glycol. Separately dissolve PVP in 10 mL ethylene glycol at 60 °C under vigorous stirring. Add the PVP/EG solution dropwise to the AgNO3/EG solution under stirring, then transfer to a 50 mL autoclave.","Centrifuge at 10,000 rpm to isolate nanoparticles.",,,Cool oven naturally to room temperature and redisperse precipitate in ethanol.,,~48–50,~50,,,,,"{""synthesis_route"": ""high"", ""temperature_time"": ""medium"", ""morphology"": ""high"", ""particle_size"": ""high""}"
